feature,rf_importance,dt_importance
n_events,0.6822644685780186,0.7830859992981951
activity_entropy,0.045146192104092736,0.02066236907287783
sum_attribute_notice_of_appeal,0.021323556976688748,0.029321752423051968
n_motions,0.021223326883116754,0.02815900582805029
sum_attribute_motion_other,0.019864485251608815,0.009985935644363115
sum_attribute_notice_of_motion,0.01964114843925243,0.016007723205943302
sum_attribute_rescheduling,0.018564852505894694,0.0063696057562478165
sum_attribute_hearing_conf,0.018031793911371257,0.008132961263225148
Defendants_counsels_count,0.01718980107469199,0.008916652213669513
Defendants_count,0.015995046656083076,0.010671181215082232
sum_attribute_scheduling,0.014055959462904123,0.005906171960500405
sum_attribute_dispositive,0.014023084364321392,0.009599744095519589
Defendants_pending_counts,0.009470267943754192,0.009154602558082685
n_activity_types,0.009195466680789148,0.006189004104952958
plaintiffs_counsels_count,0.008030862935797693,0.0025575045579551577
Defendants_terminated_counts,0.007665321628966728,0.0031901496977414165
sum_attribute_motion_for_time_extension,0.007429051690522502,0.0033094500122594567
sum_attribute_notice_other,0.006741388619053747,0.005538575578303287
Magistrate_Judge_True,0.005124660469776471,0.00925264664972951
sum_attribute_dismiss_without_prejudice,0.005102723536535039,0.0017766399849652203
Magistrate_Judge_False,0.005073440228513598,0.006801491302068619
District_Judge_SJ000233,0.004706005677541332,0.0
sum_attribute_plea_guilty,0.0040470477114512154,0.0052425808088147965
District_Judge_None,0.0034674644458036067,0.00012371564186038108
sum_attribute_bilateral_unopposed,0.0033915674113028874,0.005298552024307216
sum_attribute_trial_jury,0.0021203468719021086,0.002811732772240426
District_Judge_SJ000207,0.0018209658259014598,0.0
District_Judge_SJ000193,0.0010876495341457194,0.0019342523299928458
sum_attribute_proposed,0.0010257636524811256,0.0
sum_attribute_petition_other,0.0008266712731201851,0.0
sum_attribute_plea_not_guilty,0.0007525298239342443,0.0
District_Judge_SJ000237,0.0007237945047148839,0.0
sum_attribute_transfer_inbound,0.00063096838902013,0.0
city_Chicago,0.0004454269386455275,0.0
District_Judge_SJ000189,0.0004302059864576536,0.0
District_Judge_SJ000228,0.00041605760328354704,0.0
sum_attribute_dismissal_other,0.000369598623543316,0.0
District_Judge_SJ000203,0.00036879894104651593,0.0
District_Judge_SJ000198,0.00035695715722696775,0.0
city_Rockford,0.00034353834768567675,0.0
District_Judge_SJ000185,0.00023947464119018378,0.0
sum_attribute_motion_to_dismiss,0.000201111421368183,0.0
District_Judge_SJ000241,0.000171091283977223,0.0
District_Judge_SJ000242,0.00016247348953441428,0.0
District_Judge_SJ000178,0.00014653193488568667,0.0
District_Judge_SJ000253,9.523737992749692e-05,0.0
sum_attribute_memo_opinion,8.517543158105003e-05,0.0
District_Judge_SJ000230,7.701745480912313e-05,0.0
District_Judge_SJ000244,7.207823754231664e-05,0.0
District_Judge_SJ000194,7.131614633401676e-05,0.0
District_Judge_SJ000217,4.712501180673939e-05,0.0
District_Judge_SJ000213,2.6033627518381505e-05,0.0
District_Judge_SJ000240,2.459555726984158e-05,0.0
District_Judge_SJ000246,1.4841706792892814e-05,0.0
District_Judge_SJ000243,1.4128312327595045e-05,0.0
District_Judge_SJ000208,1.3636916614104974e-05,0.0
sum_attribute_motion_to_seal,1.3439177977553762e-05,0.0
District_Judge_SJ000187,1.296463442316438e-05,0.0
sum_attribute_motion_for_judgment_other,9.785677045587775e-06,0.0
District_Judge_SJ000186,7.651762000947255e-06,0.0
District_Judge_SJ000182,6.031534111692739e-06,0.0
"District_Judge_SJ000233, SJ000193",0.0,0.0
District_Judge_SJ000227,0.0,0.0
District_Judge_SJ000224,0.0,0.0
District_Judge_SJ000225,0.0,0.0
"District_Judge_SJ000228, SJ000251",0.0,0.0
"District_Judge_SJ000228, SJ000217",0.0,0.0
District_Judge_SJ000226,0.0,0.0
"District_Judge_SJ000228, SJ000237",0.0,0.0
sum_attribute_granting_motion_to_dismiss,0.0,0.0
"District_Judge_SJ000240, SJ000186",0.0,0.0
District_Judge_SJ000255,0.0,0.0
District_Judge_SJ003440,0.0,0.0
District_Judge_SJ002916,0.0,0.0
District_Judge_SJ002890,0.0,0.0
District_Judge_SJ002134,0.0,0.0
District_Judge_SJ001506,0.0,0.0
District_Judge_SJ000797,0.0,0.0
District_Judge_SJ000261,0.0,0.0
District_Judge_SJ000257,0.0,0.0
"District_Judge_SJ000255, SJ000194",0.0,0.0
"District_Judge_SJ000253, SJ000255",0.0,0.0
"District_Judge_SJ000242, SJ000189",0.0,0.0
"District_Judge_SJ000253, SJ000233",0.0,0.0
"District_Judge_SJ000253, SJ000193",0.0,0.0
District_Judge_SJ000251,0.0,0.0
District_Judge_SJ000250,0.0,0.0
District_Judge_SJ000248,0.0,0.0
District_Judge_SJ000245,0.0,0.0
"District_Judge_SJ000244, SJ000246",0.0,0.0
"District_Judge_SJ000244, SJ000198",0.0,0.0
District_Judge_SJ000219,0.0,0.0
District_Judge_SJ000223,0.0,0.0
District_Judge_SJ000197,0.0,0.0
District_Judge_SJ000218,0.0,0.0
"District_Judge_SJ000217, SJ000208",0.0,0.0
sum_attribute_stipulation_of_dismissal,0.0,0.0
related_case_count,0.0,0.0
sum_attribute_admin_closing,0.0,0.0
sum_attribute_remand,0.0,0.0
sum_attribute_petition_for_habeas_corpus,0.0,0.0
sum_attribute_opening,0.0,0.0
sum_attribute_case_opened_in_error,0.0,0.0
sum_attribute_notice_of_dismissal_other,0.0,0.0
sum_attribute_notice_of_consent,0.0,0.0
sum_attribute_default_judgment,0.0,0.0
sum_attribute_motion_to_remand,0.0,0.0
sum_attribute_dismiss_with_prejudice,0.0,0.0
sum_attribute_motion_for_voluntary_dismissal,0.0,0.0
sum_attribute_motion_for_summary_judgment,0.0,0.0
sum_attribute_motion_for_settlement,0.0,0.0
sum_attribute_motion_for_judgment_on_the_pleadings,0.0,0.0
sum_attribute_motion_for_habeas_corpus,0.0,0.0
sum_attribute_motion_for_dismissal_other,0.0,0.0
sum_attribute_motion_for_default_judgment,0.0,0.0
sum_attribute_stipulation_other,0.0,0.0
