feature,rf_importance,dt_importance
n_events,0.7388211150963708,0.7701484661210879
sum_attribute_scheduling,0.03534324628674831,0.03487646293909062
is_mdl_True,0.021629619648975418,0.04290118370687566
sum_attribute_dispositive,0.021235472482843354,0.021158875425103602
is_mdl_False,0.01989371160797461,0.0
Defendants_counsels_count,0.0172467644639303,0.014111570723061037
sum_attribute_notice_of_appeal,0.01700635277528843,0.012150343998693585
sum_attribute_notice_of_motion,0.014946185900563414,0.01386714458806094
sum_attribute_hearing_conf,0.013676208377625468,0.014973668473416172
activity_entropy,0.013077615261936319,0.007297930743843518
District_Judge_SJ000212,0.010564715634868757,0.012341608179334346
sum_attribute_dismiss_with_prejudice,0.00766685052058674,0.009767095326700836
n_motions,0.007433234629072774,0.004747230386221052
sum_attribute_rescheduling,0.006888817427918341,0.0045530371611545856
District_Judge_None,0.006800289440403769,0.007483841901262906
plaintiffs_counsels_count,0.006681014270454691,0.004385510625256059
sum_attribute_motion_other,0.004976840858302967,0.004112844305383572
sum_attribute_notice_other,0.0048051608575777754,0.004683005204046212
Defendants_count,0.004262085267589172,0.0036481710999045707
n_activity_types,0.002627287094466976,0.0023926310203891865
sum_attribute_motion_for_time_extension,0.002384834760154459,0.0011421647996620035
sum_attribute_dismissal_other,0.002176968730639373,0.0009234785778724026
District_Judge_SJ000203,0.002114113423872059,0.0014493131144697224
sum_attribute_memo_opinion,0.0019828423184288057,0.0010435433436317598
sum_attribute_voluntary_dismissal,0.0017115037250172583,0.0010423809683214734
plaintiffs_count,0.0016889635471948816,0.0003832268696129213
sum_attribute_bilateral_unopposed,0.0013382738146615104,0.0003346795629072546
sum_attribute_motion_for_summary_judgment,0.000994030770988093,0.00012991703897356709
sum_attribute_dismiss_without_prejudice,0.0009328872009989128,0.0007707904822045934
sum_attribute_opening,0.0009135852476421799,0.0008937421326460713
District_Judge_SJ000237,0.0008201122984794847,0.0002012050723952002
District_Judge_SJ000185,0.0007814794824401158,0.00023960087188045748
sum_attribute_motion_to_dismiss,0.0006970486903059787,0.00032550938578711333
District_Judge_SJ000228,0.0005026335347442957,0.001036182844932312
District_Judge_SJ000207,0.00034634059726610067,0.0
sum_attribute_granting_motion_for_summary_judgment,0.000338325411299973,0.0
Magistrate_Judge_True,0.0003354697230382129,1.71848244082978e-05
Magistrate_Judge_False,0.0003125236191403995,1.973875620567581e-05
