feature,rf_importance,dt_importance
n_events,0.7859759388219645,0.8250537052565767
sum_attribute_scheduling,0.03730140482537226,0.03840140041758201
sum_attribute_dispositive,0.02175718783204351,0.021944941943611955
Defendants_counsels_count,0.01854481545071773,0.017161280264577018
sum_attribute_notice_of_appeal,0.018146425132836708,0.015776020939512237
sum_attribute_notice_of_motion,0.015734860287567952,0.014869333702040929
sum_attribute_hearing_conf,0.015248958736709712,0.013500736558899233
activity_entropy,0.013224798240988923,0.007696928169734998
sum_attribute_rescheduling,0.007816725261692891,0.00458553433299715
plaintiffs_counsels_count,0.007553054656928845,0.004212599870684513
n_motions,0.007410212880482488,0.0060755254035049985
District_Judge_None,0.007224875355676436,0.007664843127450679
sum_attribute_motion_other,0.005936799297910719,0.003741626406210017
sum_attribute_notice_other,0.005472223551074164,0.0035337028315783722
Defendants_count,0.004179379502585923,0.0023001714868665347
n_activity_types,0.0027422755558037986,0.001236657150623263
sum_attribute_motion_for_time_extension,0.0025505502200236633,0.0011379725186157368
District_Judge_SJ000203,0.002447134858953309,0.0016004882236950516
sum_attribute_dismissal_other,0.0024383265730771276,0.0008731194597773824
sum_attribute_memo_opinion,0.0021050839395022414,0.0010429571125370111
plaintiffs_count,0.002017396872298251,0.0016425960811968792
sum_attribute_bilateral_unopposed,0.0014925219129378487,0.0009289787030024783
sum_attribute_voluntary_dismissal,0.001352965384744545,0.000914694413300779
sum_attribute_motion_for_summary_judgment,0.00116761987283358,0.00013905486212569288
District_Judge_SJ000185,0.0009924737334309002,0.0002765851723666929
sum_attribute_opening,0.0009219289241235712,0.001044336845275568
sum_attribute_dismiss_without_prejudice,0.0009002299400297322,0.0004049938926266161
sum_attribute_motion_to_dismiss,0.0005951919659059967,0.00036283532816561447
sum_attribute_dismiss_with_prejudice,0.000507575948389711,0.0005286761449408512
District_Judge_SJ000207,0.00044495638903692023,0.00014594003849457895
Magistrate_Judge_False,0.0003962937629919023,0.0
sum_attribute_granting_motion_for_summary_judgment,0.00038495873134810005,0.0
Magistrate_Judge_True,0.00038022827063138707,1.8512220067644702e-05
sum_attribute_petition_for_habeas_corpus,0.00030286259419498276,0.00038911062516236374
sum_attribute_motion_for_judgment_other,0.000275730780712636,0.0
related_case_count,0.00024567348815156454,0.0
District_Judge_SJ000237,0.00024330519231014256,0.00016915035057979086
District_Judge_SJ000198,0.00022195941181139933,4.462182079452619e-05
sum_attribute_remand,0.00017209961482673967,0.0
sum_attribute_motion_for_default_judgment,0.00016591419698721476,0.00016171724871379215
sum_attribute_default_judgment,0.0001658689176279638,0.0
District_Judge_SJ000241,0.00015921164563709143,2.3264075788576765e-05
District_Judge_SJ000178,0.0001578419999347611,0.0003302743925255608
District_Judge_SJ000243,0.0001505804071181633,0.0
District_Judge_SJ000223,0.00014233161293938213,0.0
District_Judge_SJ000240,0.0001365025250815237,0.0
city_Rockford,0.00012264211295487498,0.0
sum_attribute_granting_motion_to_dismiss,0.00012068459321878562,0.0
city_Chicago,0.00011978768534963595,0.0
sum_attribute_motion_to_seal,0.00010652475948478348,0.0
District_Judge_SJ000205,9.119360074759359e-05,0.0
sum_attribute_trial_bench,9.077715730953598e-05,0.0
District_Judge_SJ000208,8.78512669889131e-05,0.0
District_Judge_SJ000230,8.373069899071393e-05,1.7023726272237686e-05
sum_attribute_petition_other,7.891989063056273e-05,0.0
sum_attribute_proposed,7.796383657494177e-05,0.0
District_Judge_SJ000233,7.736838706337314e-05,0.0
sum_attribute_trial_jury,7.52159101666077e-05,0.0
sum_attribute_motion_for_dismissal_other,6.45605056254999e-05,1.737170469109237e-05
District_Judge_SJ000242,6.418312936412447e-05,0.0
District_Judge_SJ000217,6.257524647420887e-05,0.0
District_Judge_SJ000212,6.087210610154846e-05,0.0
District_Judge_SJ000186,5.507079551059505e-05,0.0
District_Judge_SJ000189,5.44313231282217e-05,0.0
sum_attribute_waiver_other,5.264410525027227e-05,0.0
District_Judge_SJ000255,4.928525460052074e-05,0.0
sum_attribute_stipulation_of_dismissal,4.858798607496867e-05,0.0
District_Judge_SJ000257,4.723101788364583e-05,0.0
sum_attribute_notice_of_voluntary_dismissal,4.0526925761607426e-05,3.071717683302188e-05
District_Judge_SJ000246,3.796063158648837e-05,0.0
District_Judge_SJ000228,3.6153872664181976e-05,0.0
District_Judge_SJ000197,3.5403154696811614e-05,0.0
District_Judge_SJ000204,2.906033587124309e-05,0.0
District_Judge_SJ000182,2.751812412936263e-05,0.0
District_Judge_SJ000251,2.1763635442159434e-05,0.0
sum_attribute_stipulation_other,2.0779142753078048e-05,0.0
District_Judge_SJ000184,2.0680746436080848e-05,0.0
District_Judge_SJ000245,1.7927293530896376e-05,0.0
District_Judge_SJ000210,1.7673554532747044e-05,0.0
District_Judge_SJ000193,1.7101483361905075e-05,0.0
District_Judge_SJ000244,1.3974005821805e-05,0.0
District_Judge_SJ000261,1.3151975719758699e-05,0.0
District_Judge_SJ000194,1.0721577634477537e-05,0.0
District_Judge_SJ000253,8.597760875800954e-06,0.0
sum_attribute_settlement_consent_decree,7.773727235195771e-06,0.0
District_Judge_SJ000226,6.692242038691175e-06,0.0
District_Judge_SJ000179,6.138860251276167e-06,0.0
sum_attribute_motion_for_settlement,3.3118278743983616e-06,0.0
District_Judge_SJ000213,2.950540781191089e-06,0.0
District_Judge_SJ000250,2.2125735772156563e-06,0.0
sum_attribute_motion_for_voluntary_dismissal,1.9403709054826045e-06,0.0
District_Judge_SJ000187,1.5327979673494037e-06,0.0
sum_attribute_motion_to_certify_class,7.185953576202459e-07,0.0
District_Judge_SJ000224,3.777957504480042e-07,0.0
District_Judge_SJ000211,0.0,0.0
District_Judge_SJ001850,0.0,0.0
sum_attribute_motion_for_habeas_corpus,0.0,0.0
sum_attribute_stipulation_for_settlement,0.0,0.0
case_type_cv,0.0,0.0
sum_attribute_trial_other,0.0,0.0
sum_attribute_transfer_inbound,0.0,0.0
District_Judge_SJ001316,0.0,0.0
District_Judge_SJ001505,0.0,0.0
District_Judge_SJ001506,0.0,0.0
District_Judge_SJ001771,0.0,0.0
District_Judge_SJ002134,0.0,0.0
District_Judge_SJ000247,0.0,0.0
District_Judge_SJ002285,0.0,0.0
District_Judge_SJ002916,0.0,0.0
District_Judge_SJ002919,0.0,0.0
District_Judge_SJ003285,0.0,0.0
District_Judge_SJ003440,0.0,0.0
District_Judge_SJ003488,0.0,0.0
District_Judge_SJ003525,0.0,0.0
Defendants_terminated_counts,0.0,0.0
Defendants_pending_counts,0.0,0.0
is_mdl_False,0.0,0.0
sum_attribute_case_opened_in_error,0.0,0.0
District_Judge_SJ000216,0.0,0.0
"District_Judge_SJ000228, SJ000203",0.0,0.0
sum_attribute_plea_guilty,0.0,0.0
"District_Judge_SJ000217, SJ000250",0.0,0.0
District_Judge_SJ000218,0.0,0.0
District_Judge_SJ000219,0.0,0.0
sum_attribute_notice_of_dismissal_other,0.0,0.0
sum_attribute_transfer_unknown,0.0,0.0
District_Judge_SJ000225,0.0,0.0
sum_attribute_stipulation_for_judgment,0.0,0.0
sum_attribute_motion_for_judgment_as_a_matter_of_law,0.0,0.0
sum_attribute_settlement_rule_68,0.0,0.0
District_Judge_SJ000195,0.0,0.0
District_Judge_SJ000232,0.0,0.0
District_Judge_SJ000206,0.0,0.0
sum_attribute_notice_of_consent,0.0,0.0
sum_attribute_motion_for_judgment_on_the_pleadings,0.0,0.0
sum_attribute_motion_to_remand,0.0,0.0
"District_Judge_SJ000241, SJ000194",0.0,0.0
