feature,mean_abs_shap
n_events,268.2415
suit_freq_not_applicable,64.838135
suit_freq_365_personal_injury-_product_liability,40.0321
Other_courts,39.321938
sum_attribute_dispositive,35.509117
suit_freq_367_personal_injury_-_health_care_pharmaceutical_personal_injury_product_liability,27.54185
sum_attribute_hearing_conf,22.88341
has_not_applicable,22.26804
n_motions,21.277266
Defendants_counsels_count,18.9131
Defendants_share_ind,18.100203
sum_attribute_opening,16.71707
complexity_index,16.439104
activity_entropy,16.221096
sum_attribute_scheduling,15.4500475
plaintiffs_counsels_count,12.507077
Defendants_count,11.639956
Magistrate_Judge,11.194136
has_367_personal_injury_-_health_care_pharmaceutical_personal_injury_product_liability,11.100536
Defendants_pending_counts,10.580584
n_activity_types,8.307379
has_365_personal_injury-_product_liability,7.9702563
sum_attribute_dismissal_other,6.187452
Defendants_share_pro_se,5.252843
suit_freq_555_prison_condition,4.2069488
plaintiffs_share_ind,3.9767888
suit_freq_480_consumer_credit,3.5260484
suit_freq_152_recovery_of_defaulted_student_loans_(excl._veterans),3.470935
Defendants_share_pro_hac_vice,3.444274
suit_freq_863_diwc_diww_(405(g)),3.4357345
suit_freq_510_motions_to_vacate_sentence,3.4003928
plaintiffs_count,2.8006656
Defendants_terminated_counts,2.7124777
suit_freq_530_general,2.711929
plaintiffs_share_pro_hac_vice,2.6954484
plaintiffs_share_pro_se,2.3946126
suit_freq_220_foreclosure,2.1894171
city_Rockford,2.0155683
suit_freq_550_civil_rights,2.0033817
Party_Counter_Defendant,1.6466796
related_case_count,1.6175635
suit_freq_820_copyrights,1.5969012
suit_freq_440_other_civil_rights,1.5632982
suit_freq_710_fair_labor_standards_act,1.5092256
suit_freq_864_ssid_title_xvi,1.2750812
has_863_diwc_diww_(405(g)),1.2446983
suit_freq_190_other_contract,1.168027
suit_freq_890_other_statutory_actions,1.132579
suit_freq_791_employee_retirement_income_security_act,1.0886217
suit_freq_840_trademark,0.99369156
has_152_recovery_of_defaulted_student_loans_(excl._veterans),0.9155268
suit_freq_999_miscellaneous_cases,0.87988055
suit_freq_850_securities_commodities_exchange,0.7742336
suit_freq_410_antitrust,0.7696261
suit_freq_865_rsi_(405(g)),0.64982426
has_555_prison_condition,0.63093644
has_220_foreclosure,0.54328144
has_550_civil_rights,0.50861603
has_530_general,0.41671088
Party_Third_Party_Plaintiff,0.40741226
has_864_ssid_title_xvi,0.40279597
has_820_copyrights,0.35130647
has_510_motions_to_vacate_sentence,0.35041925
Party_Counter_Claimant,0.33165544
has_710_fair_labor_standards_act,0.32244205
has_791_employee_retirement_income_security_act,0.32120156
suit_freq_375_false_claims_act,0.31908387
has_480_consumer_credit,0.31259853
has_890_other_statutory_actions,0.29936954
has_840_trademark,0.28484794
suit_freq_893_environmental_matters,0.27803525
suit_freq_830_patent,0.27795285
suit_freq_110_insurance,0.27049002
has_440_other_civil_rights,0.26393
suit_freq_870_taxes_(u.s._plaintiff_or_defendant),0.25041658
suit_freq_446_amer_w_disabilities_-_other,0.24761656
suit_freq_385_property_damage_product_liability,0.23284236
suit_freq_245_tort_product_liability,0.22230676
suit_freq_362_personal_injury-_medical_malpractice,0.19564949
has_999_miscellaneous_cases,0.19138478
has_410_antitrust,0.17973891
suit_freq_423_withdrawal_28_usc_157,0.16195804
suit_freq_371_truth_in_lending,0.15656708
suit_freq_422_appeal_28_usc_158,0.1512047
suit_freq_360_other_personal_injury,0.14682688
has_850_securities_commodities_exchange,0.14465088
Party_Third_Party_Defendant,0.13815343
suit_freq_442_employment,0.120397635
has_190_other_contract,0.11879766
suit_freq_140_negotiable_instrument,0.11004761
Party_Material_Witness,0.09648134
has_360_other_personal_injury,0.09544896
suit_freq_443_housing_accommodations,0.09117477
suit_freq_891_agricultural_acts,0.088135436
has_375_false_claims_act,0.08056218
suit_freq_120_marine,0.0763639
has_446_amer_w_disabilities_-_other,0.07075513
Party_Intervenor,0.06876974
has_443_housing_accommodations,0.06688505
has_245_tort_product_liability,0.0668617
suit_freq_540_mandamus_&_other,0.06666879
Party_Amicus,0.0656493
suit_freq_315_airplane_product_liability,0.05954621
has_893_environmental_matters,0.054178607
suit_freq_370_other_fraud,0.05270677
has_870_taxes_(u.s._plaintiff_or_defendant),0.05099729
suit_freq_445_amer_w_disabilities-employment,0.049427938
has_423_withdrawal_28_usc_157,0.045253243
has_422_appeal_28_usc_158,0.036921173
has_830_patent,0.036448296
has_865_rsi_(405(g)),0.03572657
has_362_personal_injury-_medical_malpractice,0.03211794
suit_freq_350_motor_vehicle,0.03178307
suit_freq_690_other,0.031657264
has_371_truth_in_lending,0.030188259
has_540_mandamus_&_other,0.028799228
has_385_property_damage_product_liability,0.026761975
has_120_marine,0.026263736
suit_freq_470_racketeer_influenced_and_corrupt_organizations,0.026156453
suit_freq_310_airplane,0.024930784
suit_freq_740_railway_labor_act,0.02170831
"suit_freq_320_assault,_libel,_&_slander",0.020145964
suit_freq_950_constitutionality_of_state_statutes,0.0192258
has_110_insurance,0.018179582
has_140_negotiable_instrument,0.01677601
suit_freq_151_medicare_act,0.015693532
suit_freq_196_franchise,0.01371082
suit_freq_330_federalemployers_liability,0.011766014
suit_freq_620_other_food_&_drug,0.011112858
has_470_racketeer_influenced_and_corrupt_organizations,0.009689253
has_740_railway_labor_act,0.007606489
has_442_employment,0.006897207
Party_Trustee,0.006096065
Party_Court_Monitor,0.005819827
suit_freq_861_hia_(1395ff),0.005795958
suit_freq_441_voting,0.0051518846
suit_freq_625_drug_related_seizure_of_property_21_usc_881_630_liquor_laws,0.0040142424
suit_freq_160_stockholders_suits,0.004005199
has_620_other_food_&_drug,0.0038823225
has_625_drug_related_seizure_of_property_21_usc_881_630_liquor_laws,0.0028506592
suit_freq_895_freedom_of_information_act,0.0027204477
suit_freq_345_marine_product_liability,0.002615144
