feature,mean_abs_shap
n_events,484.19135
sum_attribute_motion_other,75.37593
n_motions,70.73002
n_activity_types,60.78068
Defendants_counsels_count,53.59563
activity_entropy,52.52891
Magistrate_Judge_False,46.62403
sum_attribute_notice_of_motion,46.053215
sum_attribute_scheduling,37.099033
sum_attribute_hearing_conf,36.905136
sum_attribute_dispositive,35.54203
sum_attribute_motion_for_time_extension,30.56672
sum_attribute_rescheduling,29.50914
plaintiffs_counsels_count,27.464737
Defendants_pending_counts,26.792543
District_Judge_SJ000223,22.09662
Defendants_count,21.902514
Defendants_terminated_counts,19.15008
sum_attribute_bilateral_unopposed,17.326862
sum_attribute_notice_of_appeal,15.80947
sum_attribute_notice_other,15.68515
District_Judge_SJ000233,13.587613
District_Judge_None,12.762233
sum_attribute_trial_jury,12.691042
sum_attribute_plea_guilty,11.8921995
District_Judge_SJ000216,11.610632
District_Judge_SJ000237,11.345696
District_Judge_SJ000179,11.249673
District_Judge_SJ000219,9.873683
sum_attribute_dismiss_without_prejudice,9.625109
District_Judge_SJ000228,8.918347
sum_attribute_transfer_inbound,8.014451
District_Judge_SJ000251,7.7831087
District_Judge_SJ000193,7.6291766
District_Judge_SJ000189,7.275815
sum_attribute_proposed,7.050744
District_Judge_SJ000253,7.014677
District_Judge_SJ000198,6.479191
Magistrate_Judge_True,6.2776203
District_Judge_SJ000213,5.626888
District_Judge_SJ000207,5.5521374
District_Judge_SJ000245,5.4595985
District_Judge_SJ000241,5.4418645
District_Judge_SJ000194,5.321825
District_Judge_SJ000185,4.6759224
District_Judge_SJ000218,4.536694
District_Judge_SJ000246,3.7002473
District_Judge_SJ000242,3.0815892
city_Chicago,2.8106298
sum_attribute_petition_other,2.7616305
District_Judge_SJ000187,2.6117778
District_Judge_SJ000178,2.5624375
sum_attribute_motion_to_seal,2.5564463
District_Judge_SJ000208,2.5430412
District_Judge_SJ000203,2.3526387
sum_attribute_memo_opinion,2.0974216
District_Judge_SJ000182,1.8026725
District_Judge_SJ000240,1.7033485
District_Judge_SJ000244,1.4038411
sum_attribute_motion_to_dismiss,1.2609097
sum_attribute_plea_not_guilty,1.1259108
District_Judge_SJ000250,0.97383887
District_Judge_SJ000225,0.9652011
District_Judge_SJ000217,0.93859375
District_Judge_SJ000230,0.9128815
District_Judge_SJ000224,0.9065755
District_Judge_SJ000197,0.8573068
sum_attribute_remand,0.8358301
District_Judge_SJ000186,0.82807773
sum_attribute_trial_bench,0.76522344
city_Rockford,0.7460602
District_Judge_SJ000248,0.7136554
District_Judge_SJ000243,0.70611846
sum_attribute_dismissal_other,0.6911369
plaintiffs_count,0.6221695
sum_attribute_default_judgment,0.56505597
District_Judge_SJ000205,0.5378335
sum_attribute_granting_motion_to_dismiss,0.5320282
sum_attribute_motion_for_habeas_corpus,0.53145546
District_Judge_SJ000184,0.4938278
District_Judge_SJ000257,0.49349365
sum_attribute_petition_for_habeas_corpus,0.40580484
sum_attribute_stipulation_other,0.4046971
sum_attribute_motion_for_dismissal_other,0.36311164
District_Judge_SJ000261,0.36046827
sum_attribute_trial_other,0.35865375
sum_attribute_waiver_of_indictment,0.35797018
District_Judge_SJ000227,0.33012587
District_Judge_SJ000212,0.30205804
sum_attribute_dismiss_with_prejudice,0.28036946
sum_attribute_motion_for_default_judgment,0.25451684
District_Judge_SJ000204,0.23372571
District_Judge_SJ000255,0.21080191
sum_attribute_motion_for_judgment_other,0.2005657
sum_attribute_transfer_unknown,0.065860435
sum_attribute_motion_for_voluntary_dismissal,0.0654913
District_Judge_SJ000226,0.06315644
sum_attribute_voluntary_dismissal,0.04284124
sum_attribute_motion_to_remand,0.031489402
District_Judge_SJ001506,0.029053777
sum_attribute_waiver_other,0.026890798
"District_Judge_SJ000194, SJ000184",0.007036434
"District_Judge_SJ000228, SJ000237",0.0035984518
sum_attribute_notice_of_consent,0.0034322722
District_Judge_SJ002916,0.0024981692
sum_attribute_case_opened_in_error,0.0
related_case_count,0.0
District_Judge_SJ003440,0.0
"District_Judge_SJ000253, SJ000255",0.0
sum_attribute_admin_closing,0.0
"District_Judge_SJ000253, SJ000193",0.0
"District_Judge_SJ000253, SJ000233",0.0
District_Judge_SJ002134,0.0
District_Judge_SJ000797,0.0
"District_Judge_SJ000255, SJ000194",0.0
District_Judge_SJ002890,0.0
sum_attribute_notice_of_dismissal_other,0.0
"District_Judge_SJ000244, SJ000246",0.0
"District_Judge_SJ000189, SJ000251",0.0
sum_attribute_stipulation_of_dismissal,0.0
sum_attribute_transfer_outbound,0.0
sum_attribute_motion_for_summary_judgment,0.0
case_type_cr,0.0
is_mdl_False,0.0
sum_attribute_motion_for_settlement,0.0
"District_Judge_SJ000187, SJ000250",0.0
sum_attribute_motion_for_judgment_on_the_pleadings,0.0
District_Judge_SJ000211,0.0
"District_Judge_SJ000244, SJ000198",0.0
sum_attribute_opening,0.0
"District_Judge_SJ000217, SJ000203",0.0
"District_Judge_SJ000217, SJ000208",0.0
"District_Judge_SJ000228, SJ000217",0.0
"District_Judge_SJ000228, SJ000251",0.0
"District_Judge_SJ000233, SJ000193",0.0
"District_Judge_SJ000240, SJ000186",0.0
"District_Judge_SJ000242, SJ000189",0.0
"District_Judge_SJ000185, SJ000233",0.0
