feature,mean_abs_shap
n_events,191.41719
is_mdl_False,65.834045
is_mdl_True,32.993614
sum_attribute_dispositive,30.108498
sum_attribute_notice_of_motion,23.020346
Defendants_counsels_count,22.109016
sum_attribute_hearing_conf,20.364347
District_Judge_None,13.695539
sum_attribute_notice_other,13.538065
n_motions,12.79679
sum_attribute_notice_of_appeal,11.298992
sum_attribute_scheduling,10.514034
sum_attribute_motion_other,9.854112
plaintiffs_counsels_count,9.368117
sum_attribute_dismiss_with_prejudice,9.148016
activity_entropy,9.08531
sum_attribute_dismissal_other,8.498813
sum_attribute_opening,6.653875
n_activity_types,6.284772
sum_attribute_memo_opinion,6.024364
sum_attribute_rescheduling,5.949925
sum_attribute_voluntary_dismissal,5.912441
Defendants_count,5.6215353
District_Judge_SJ000185,5.5816708
District_Judge_SJ000228,5.082901
District_Judge_SJ000212,4.5656567
plaintiffs_count,4.420117
District_Judge_SJ000203,4.284512
District_Judge_SJ000178,4.0590763
sum_attribute_motion_for_time_extension,4.048091
District_Judge_SJ000237,3.9349391
Magistrate_Judge_False,3.6620781
sum_attribute_dismiss_without_prejudice,3.6275067
sum_attribute_motion_to_dismiss,2.9934874
District_Judge_SJ000179,2.8958135
District_Judge_SJ000225,2.5947058
sum_attribute_motion_for_summary_judgment,2.2327986
District_Judge_SJ000240,2.1594734
District_Judge_SJ000194,2.1302109
District_Judge_SJ000198,2.1216722
District_Judge_SJ000230,2.1115594
District_Judge_SJ000211,2.0873322
District_Judge_SJ000207,1.7278914
related_case_count,1.5707967
sum_attribute_motion_for_judgment_other,1.4183592
sum_attribute_bilateral_unopposed,1.3666644
District_Judge_SJ000242,1.3006388
sum_attribute_petition_for_habeas_corpus,1.2146156
District_Judge_SJ000187,1.0873799
District_Judge_SJ000245,1.0844953
sum_attribute_granting_motion_for_summary_judgment,1.0101281
District_Judge_SJ000250,0.8947944
District_Judge_SJ000251,0.8943012
District_Judge_SJ000182,0.8434934
Magistrate_Judge_True,0.83331406
District_Judge_SJ000219,0.82720053
District_Judge_SJ000223,0.8121495
sum_attribute_remand,0.7820989
District_Judge_SJ000216,0.7491435
District_Judge_SJ000208,0.74517417
District_Judge_SJ000244,0.7287444
sum_attribute_motion_for_dismissal_other,0.6915341
sum_attribute_notice_of_voluntary_dismissal,0.66447115
District_Judge_SJ000241,0.59771484
sum_attribute_motion_for_default_judgment,0.596809
District_Judge_SJ000255,0.5857528
District_Judge_SJ000197,0.561839
sum_attribute_default_judgment,0.5405346
city_Chicago,0.5344827
District_Judge_SJ000213,0.5158038
sum_attribute_granting_motion_to_dismiss,0.44989118
District_Judge_SJ000224,0.38989115
sum_attribute_motion_to_seal,0.38161775
sum_attribute_settlement_consent_decree,0.36247343
District_Judge_SJ000233,0.32992086
sum_attribute_petition_other,0.32666564
sum_attribute_motion_to_certify_class,0.32028183
sum_attribute_waiver_other,0.30340287
District_Judge_SJ000210,0.29995176
sum_attribute_trial_bench,0.26284593
District_Judge_SJ000226,0.24956277
District_Judge_SJ000184,0.23648874
sum_attribute_motion_for_settlement,0.22900395
District_Judge_SJ000205,0.21410015
District_Judge_SJ000243,0.20801197
sum_attribute_proposed,0.17212565
District_Judge_SJ000257,0.15868351
sum_attribute_trial_jury,0.15199438
sum_attribute_stipulation_of_dismissal,0.14347212
sum_attribute_stipulation_other,0.12999935
District_Judge_SJ000189,0.12782575
District_Judge_SJ000261,0.12530611
sum_attribute_notice_of_consent,0.12223267
District_Judge_SJ000218,0.117204495
District_Judge_SJ000253,0.105637096
District_Judge_SJ000204,0.09858096
District_Judge_SJ000246,0.09618336
District_Judge_SJ000186,0.09194309
District_Judge_SJ000217,0.0831547
city_Rockford,0.07471063
sum_attribute_motion_for_judgment_on_the_pleadings,0.072681144
sum_attribute_motion_to_remand,0.06912417
sum_attribute_transfer_inbound,0.06346126
sum_attribute_settlement_rule_68,0.061849166
District_Judge_SJ000193,0.055752054
sum_attribute_motion_for_arbitration,0.04934279
sum_attribute_transfer_unknown,0.032737687
sum_attribute_stipulation_for_judgment,0.029259352
sum_attribute_motion_for_voluntary_dismissal,0.020545464
District_Judge_SJ000195,0.014683584
sum_attribute_transfer_outbound,0.01145187
District_Judge_SJ000232,0.009673445
District_Judge_SJ001771,0.008744034
sum_attribute_motion_for_judgment_as_a_matter_of_law,0.0054948945
sum_attribute_notice_of_dismissal_other,0.0027228491
District_Judge_SJ002134,0.0005046297
sum_attribute_trial_other,0.00015629009
sum_attribute_motion_for_habeas_corpus,0.00013900641
sum_attribute_plea_guilty,0.0
District_Judge_SJ001850,0.0
sum_attribute_case_opened_in_error,0.0
sum_attribute_stipulation_for_settlement,0.0
District_Judge_SJ003525,0.0
District_Judge_SJ003488,0.0
District_Judge_SJ003440,0.0
District_Judge_SJ003285,0.0
District_Judge_SJ002919,0.0
District_Judge_SJ002916,0.0
District_Judge_SJ002285,0.0
sum_attribute_admin_closing,0.0
Defendants_pending_counts,0.0
District_Judge_SJ001506,0.0
District_Judge_SJ001505,0.0
sum_attribute_notice_of_settlement,0.0
"District_Judge_SJ000217, SJ000250",0.0
"District_Judge_SJ000241, SJ000194",0.0
"District_Judge_SJ000228, SJ000203",0.0
Defendants_terminated_counts,0.0
District_Judge_SJ000247,0.0
District_Judge_SJ000206,0.0
District_Judge_SJ001316,0.0
