feature,mean_abs_shap
n_events,206.47365
sum_attribute_dispositive,33.485092
Defendants_counsels_count,27.200779
sum_attribute_notice_of_motion,26.174795
sum_attribute_hearing_conf,22.836365
sum_attribute_notice_other,14.866345
sum_attribute_notice_of_appeal,13.775284
District_Judge_None,13.6753435
n_motions,12.214922
sum_attribute_scheduling,10.921361
sum_attribute_motion_other,10.838663
plaintiffs_counsels_count,8.466064
sum_attribute_dismissal_other,7.6185703
activity_entropy,6.925753
District_Judge_SJ000185,6.678215
sum_attribute_opening,6.420832
sum_attribute_memo_opinion,6.325915
sum_attribute_rescheduling,6.294983
n_activity_types,5.7605867
sum_attribute_dismiss_with_prejudice,5.2559514
District_Judge_SJ000203,4.8815317
Defendants_count,4.7530084
plaintiffs_count,4.5667787
sum_attribute_motion_for_time_extension,4.5200295
District_Judge_SJ000179,4.2999773
District_Judge_SJ000178,4.2483377
District_Judge_SJ000225,3.9418464
sum_attribute_motion_to_dismiss,3.5112147
Magistrate_Judge_False,3.4558337
sum_attribute_voluntary_dismissal,3.3700368
sum_attribute_dismiss_without_prejudice,2.7459514
District_Judge_SJ000240,2.7316556
District_Judge_SJ000230,2.4631069
sum_attribute_motion_for_summary_judgment,2.2990704
District_Judge_SJ000194,2.2974143
District_Judge_SJ000228,2.277765
District_Judge_SJ000198,2.1216211
District_Judge_SJ000207,1.6856252
District_Judge_SJ000211,1.6659225
sum_attribute_bilateral_unopposed,1.5938727
related_case_count,1.5638084
District_Judge_SJ000251,1.558299
District_Judge_SJ000245,1.5383809
District_Judge_SJ000242,1.4985026
District_Judge_SJ000216,1.3397205
sum_attribute_petition_for_habeas_corpus,1.3249924
District_Judge_SJ000223,1.2918963
District_Judge_SJ000187,1.239098
District_Judge_SJ000219,1.145467
sum_attribute_motion_for_judgment_other,1.0492716
District_Judge_SJ000250,1.0429505
Magistrate_Judge_True,1.0181986
sum_attribute_remand,1.0139406
District_Judge_SJ000182,0.948544
District_Judge_SJ000241,0.9083681
sum_attribute_granting_motion_for_summary_judgment,0.9071753
District_Judge_SJ000208,0.85218644
sum_attribute_notice_of_voluntary_dismissal,0.8228753
District_Judge_SJ000244,0.7300627
city_Chicago,0.6792713
District_Judge_SJ000213,0.67339265
sum_attribute_motion_for_dismissal_other,0.6620709
sum_attribute_motion_to_seal,0.65638417
sum_attribute_motion_for_default_judgment,0.6366625
District_Judge_SJ000255,0.63156235
District_Judge_SJ000212,0.60652244
sum_attribute_default_judgment,0.59129155
District_Judge_SJ000197,0.54598224
sum_attribute_granting_motion_to_dismiss,0.5015188
sum_attribute_settlement_consent_decree,0.4462876
District_Judge_SJ000224,0.3984785
District_Judge_SJ000226,0.37594262
sum_attribute_petition_other,0.3596245
sum_attribute_waiver_other,0.33618957
District_Judge_SJ000210,0.3305189
District_Judge_SJ000237,0.33022305
sum_attribute_motion_to_certify_class,0.305567
District_Judge_SJ000243,0.30433095
District_Judge_SJ000184,0.28005043
sum_attribute_trial_bench,0.25876337
District_Judge_SJ000218,0.24268892
District_Judge_SJ000233,0.23895204
sum_attribute_trial_jury,0.22963306
District_Judge_SJ000189,0.21771239
District_Judge_SJ000253,0.2129305
sum_attribute_proposed,0.2102498
District_Judge_SJ000205,0.20004854
sum_attribute_stipulation_other,0.19216004
District_Judge_SJ000246,0.18858516
District_Judge_SJ000257,0.16583928
District_Judge_SJ000186,0.13316627
District_Judge_SJ000261,0.13247198
sum_attribute_stipulation_of_dismissal,0.12538332
District_Judge_SJ000193,0.12035777
city_Rockford,0.11602827
District_Judge_SJ000204,0.10715335
sum_attribute_motion_for_judgment_on_the_pleadings,0.101237796
District_Judge_SJ000217,0.09527603
sum_attribute_motion_for_arbitration,0.09449173
sum_attribute_motion_to_remand,0.07846311
sum_attribute_notice_of_consent,0.065897554
sum_attribute_motion_for_settlement,0.059564956
sum_attribute_settlement_rule_68,0.04550275
sum_attribute_transfer_outbound,0.036124352
sum_attribute_stipulation_for_judgment,0.033893395
sum_attribute_motion_for_voluntary_dismissal,0.02625086
sum_attribute_transfer_unknown,0.021485386
District_Judge_SJ000195,0.015750306
District_Judge_SJ000232,0.012099645
sum_attribute_motion_for_judgment_as_a_matter_of_law,0.008932586
District_Judge_SJ001771,0.0088556
District_Judge_SJ002134,0.0023453527
District_Judge_SJ001316,0.0020712342
sum_attribute_notice_of_dismissal_other,0.0012374792
sum_attribute_transfer_inbound,0.0007342113
District_Judge_SJ000206,0.0005306936
District_Judge_SJ003440,0.0
District_Judge_SJ001506,0.0
District_Judge_SJ002919,0.0
District_Judge_SJ002916,0.0
District_Judge_SJ002285,0.0
District_Judge_SJ003488,0.0
District_Judge_SJ003525,0.0
Defendants_terminated_counts,0.0
District_Judge_SJ001850,0.0
Defendants_pending_counts,0.0
District_Judge_SJ003285,0.0
sum_attribute_case_opened_in_error,0.0
District_Judge_SJ001505,0.0
sum_attribute_stipulation_for_settlement,0.0
sum_attribute_admin_closing,0.0
sum_attribute_trial_other,0.0
sum_attribute_plea_guilty,0.0
case_type_cv,0.0
"District_Judge_SJ000241, SJ000194",0.0
is_mdl_False,0.0
sum_attribute_notice_of_settlement,0.0
"District_Judge_SJ000228, SJ000203",0.0
"District_Judge_SJ000217, SJ000250",0.0
sum_attribute_motion_for_habeas_corpus,0.0
District_Judge_SJ000247,0.0
