term,coef,std_err,p_value,ci_low,ci_high,model
z_n_events,0.21380945030108509,0.027271738665173198,4.5067549241582854e-15,0.16035782472155719,0.267261075880613,M1_complexity_only
z_n_activity_types,0.8179793267190913,0.01326468990204751,0.0,0.7919810122449861,0.8439776411931966,M1_complexity_only
z_n_motions,-0.0193489596638464,0.018711700395482984,0.30110964458734457,-0.05602321852849693,0.017325299200804133,M1_complexity_only
z_activity_entropy,0.008901731259756261,0.010381876814867625,0.3912073587641075,-0.011446373389315694,0.029249835908828216,M1_complexity_only
z_n_events,0.2153678778083561,0.02771919556701993,7.871606947183642e-15,0.16103925281657472,0.26969650280013746,M2_with_case_controls
z_n_activity_types,0.8135503147600724,0.014408402747815218,0.0,0.7853103642996067,0.8417902652205382,M2_with_case_controls
z_n_motions,-0.019842295325275174,0.018939227598309773,0.29478496145471467,-0.05696249931296936,0.017277908662419007,M2_with_case_controls
z_activity_entropy,0.012444031708377518,0.010669621360547837,0.24349119147084208,-0.008468041886975492,0.033356105303730524,M2_with_case_controls
z_n_events,0.22959670106073776,0.028232817978150145,4.21349419653985e-16,0.17426139464148854,0.284932007479987,M3_with_judge_fe
z_n_activity_types,0.8183605348479418,0.014446837460837436,0.0,0.7900452537341963,0.8466758159616873,M3_with_judge_fe
z_n_motions,-0.03586946329176846,0.019367220911782182,0.06401566457664123,-0.07382851875949253,0.0020895921759556055,M3_with_judge_fe
z_activity_entropy,0.008413048616016511,0.010703974118011883,0.4318825408543143,-0.01256635514673567,0.029392452378768693,M3_with_judge_fe
